artifact_path,artifact_type,phase,exists,nonempty,last_modified,referenced_by_reports,needs_verification,notes
outputs/window_size_study/300s/ready_packages/transformer/config.json,json,phase1,True,True,2026-04-18 21:07:30.660220623,reports/generated_report.md,True,
outputs/window_size_study/300s/ready_packages/transformer/feature_columns.json,json,phase1,True,True,2026-04-18 21:07:30.650100470,,True,
outputs/window_size_study/300s/ready_packages/transformer/metrics.json,json,phase1,True,True,2026-04-18 21:07:30.660220623,,True,
outputs/window_size_study/300s/ready_packages/transformer/model_manifest.json,json,phase1,True,True,2026-04-18 21:07:30.670533180,,True,
outputs/window_size_study/300s/ready_packages/transformer/predictions.parquet,parquet,phase1,True,True,2026-04-18 21:07:30.666921377,deployment_runtime/docs/deployment_contract.md;outputs/window_size_study/professor_graph_package/PROFESSOR_GRAPH_PACKAGE_SUMMARY.md;reports/generated_report.md,True,
outputs/window_size_study/300s/ready_packages/transformer/preprocessing.pkl,checkpoint,phase1,True,True,2026-04-18 21:07:30.650100470,,False,
outputs/window_size_study/300s/ready_packages/transformer/split_summary.json,json,phase1,True,True,2026-04-18 21:07:30.660220623,,True,
outputs/window_size_study/300s/ready_packages/transformer/thresholds.json,json,phase1,True,True,2026-04-18 21:07:30.660220623,,True,
outputs/window_size_study/300s/ready_packages/transformer/training_history.json,json,phase1,True,True,2026-04-18 21:07:30.660220623,,True,
outputs/window_size_study/300s/reports/attack_window_counts_per_scenario.csv,table,phase1,True,True,2026-04-19 19:09:06.943260908,reports/generated_report.md,True,
outputs/window_size_study/300s/reports/autoencoder/anomaly_score_distribution.png,figure,phase1,True,True,2026-04-18 21:00:57.655179262,reports/generated_report.md,True,
outputs/window_size_study/300s/reports/autoencoder/confusion_matrix.png,figure,phase1,True,True,2026-04-18 21:00:57.513060331,reports/generated_report.md,True,
outputs/window_size_study/300s/reports/autoencoder/precision_recall_curve.png,figure,phase1,True,True,2026-04-18 21:00:57.429936409,reports/generated_report.md,True,
outputs/window_size_study/300s/reports/autoencoder/roc_curve.png,figure,phase1,True,True,2026-04-18 21:00:57.346380711,reports/generated_report.md,True,
outputs/window_size_study/300s/reports/autoencoder/threshold_visualization.png,figure,phase1,True,True,2026-04-18 21:00:57.871805906,reports/generated_report.md,True,
outputs/window_size_study/300s/reports/autoencoder/training_validation_loss.png,figure,phase1,True,True,2026-04-18 21:00:57.761424541,reports/generated_report.md,True,
outputs/window_size_study/300s/reports/class_balance_table.csv,table,phase1,True,True,2026-04-19 19:09:06.939873219,reports/generated_report.md,True,
